C1 	 -14.614000 	 -14.875000 	 -27.678000 	 -0.385
C2 	 -15.146000 	 -15.645000 	 -26.648000 	 0.562
C3 	 -14.777000 	 -13.498000 	 -27.633000 	 -0.008
C4 	 -15.863000 	 -15.064000 	 -25.593000 	 -0.282
N5 	 -14.934000 	 -17.012000 	 -26.693000 	 -0.725
C6 	 -15.459000 	 -12.929000 	 -26.561000 	 -0.046
C7 	 -16.021000 	 -13.688000 	 -25.541000 	 -0.045
C8 	 -16.456000 	 -15.966000 	 -24.534000 	 0.738
N9 	 -16.177000 	 -17.273000 	 -24.785000 	 -0.625
O10 	 -17.137000 	 -15.610000 	 -23.571000 	 -0.602
C11 	 -15.446000 	 -17.812000 	 -25.827000 	 0.681
C12 	 -15.301000 	 -19.258000 	 -25.968000 	 -0.119
C13 	 -15.788000 	 -20.144000 	 -25.003000 	 -0.152
C14 	 -15.585000 	 -21.505000 	 -25.167000 	 -0.262
C15 	 -14.921000 	 -21.989000 	 -26.300000 	 0.165
C16 	 -14.450000 	 -21.104000 	 -27.260000 	 -0.164
C17 	 -14.647000 	 -19.751000 	 -27.104000 	 -0.104
C18 	 -14.568000 	 -23.459000 	 -26.421000 	 0.544
O19 	 -14.254000 	 -23.895000 	 -27.719000 	 -0.761
CL20 	 -15.591000 	 -11.254000 	 -26.487000 	 -0.106
C21 	 -15.737000 	 -24.373000 	 -26.145000 	 -0.326
C22 	 -13.353000 	 -23.688000 	 -25.535000 	 -0.406
H23 	 -14.072000 	 -15.335000 	 -28.492000 	 0.208
H24 	 -14.358000 	 -12.872000 	 -28.409000 	 0.142
H25 	 -16.553000 	 -13.209000 	 -24.730000 	 0.159
H26 	 -16.658000 	 -17.908000 	 -24.160000 	 0.332
H27 	 -16.294000 	 -19.799000 	 -24.112000 	 0.169
H28 	 -15.910000 	 -22.169000 	 -24.381000 	 0.146
H29 	 -13.899000 	 -21.455000 	 -28.119000 	 0.164
H30 	 -14.262000 	 -19.097000 	 -27.874000 	 0.142
H31 	 -14.051000 	 -24.836000 	 -27.668000 	 0.458
H32 	 -16.572000 	 -24.086000 	 -26.783000 	 0.074
H33 	 -16.074000 	 -24.298000 	 -25.115000 	 0.074
H34 	 -15.526000 	 -25.427000 	 -26.334000 	 0.074
H35 	 -12.548000 	 -22.994000 	 -25.777000 	 0.095
H36 	 -12.975000 	 -24.692000 	 -25.679000 	 0.095
H37 	 -13.585000 	 -23.561000 	 -24.477000 	 0.095
