C1 	 -15.140000 	 -19.190000 	 -26.020000 	 -0.144
C2 	 -15.500000 	 -20.010000 	 -24.950000 	 -0.121
C3 	 -14.550000 	 -19.770000 	 -27.150000 	 -0.036
C4 	 -15.350000 	 -17.720000 	 -25.950000 	 0.706
C5 	 -15.280000 	 -21.380000 	 -25.010000 	 -0.256
C6 	 -14.360000 	 -21.150000 	 -27.230000 	 -0.208
C7 	 -14.730000 	 -21.980000 	 -26.160000 	 0.045
N8 	 -16.120000 	 -17.180000 	 -24.930000 	 -0.653
C9 	 -16.400000 	 -15.880000 	 -24.670000 	 0.764
N10 	 -14.850000 	 -16.910000 	 -26.820000 	 -0.743
C11 	 -15.010000 	 -15.520000 	 -26.720000 	 0.500
C12 	 -15.750000 	 -14.950000 	 -25.680000 	 -0.208
C13 	 -15.870000 	 -13.560000 	 -25.580000 	 -0.296
C14 	 -15.250000 	 -12.750000 	 -26.540000 	 0.359
C15 	 -14.530000 	 -13.320000 	 -27.580000 	 -0.250
C16 	 -14.410000 	 -14.710000 	 -27.680000 	 -0.291
O17 	 -17.120000 	 -15.550000 	 -23.720000 	 -0.615
C18 	 -14.490000 	 -23.500000 	 -26.210000 	 0.550
O19 	 -14.240000 	 -23.900000 	 -27.580000 	 -0.470
F20 	 -15.350000 	 -11.410000 	 -26.460000 	 -0.218
C21 	 -14.670000 	 -25.170000 	 -28.110000 	 0.058
C22 	 -13.990000 	 -26.430000 	 -27.540000 	 0.171
O23 	 -12.600000 	 -26.540000 	 -27.840000 	 -0.386
C24 	 -12.320000 	 -27.150000 	 -29.090000 	 0.047
C25 	 -15.700000 	 -24.230000 	 -25.580000 	 -0.385
C26 	 -13.180000 	 -23.780000 	 -25.460000 	 -0.141
H27 	 -15.940000 	 -19.610000 	 -24.040000 	 0.145
H28 	 -14.250000 	 -19.170000 	 -28.000000 	 0.128
H29 	 -15.550000 	 -21.970000 	 -24.140000 	 0.157
H30 	 -13.910000 	 -21.570000 	 -28.120000 	 0.159
H31 	 -16.600000 	 -17.820000 	 -24.320000 	 0.344
H32 	 -16.430000 	 -13.110000 	 -24.770000 	 0.212
H33 	 -14.050000 	 -12.690000 	 -28.320000 	 0.191
H34 	 -13.840000 	 -15.150000 	 -28.490000 	 0.202
H35 	 -14.490000 	 -25.150000 	 -29.180000 	 0.056
H36 	 -15.750000 	 -25.250000 	 -28.010000 	 0.056
H37 	 -14.540000 	 -27.320000 	 -27.830000 	 0.022
H38 	 -14.050000 	 -26.390000 	 -26.460000 	 0.022
H39 	 -11.250000 	 -27.190000 	 -29.240000 	 0.052
H40 	 -12.750000 	 -26.590000 	 -29.920000 	 0.052
H41 	 -12.700000 	 -28.180000 	 -29.130000 	 0.052
H42 	 -15.750000 	 -24.030000 	 -24.510000 	 0.093
H43 	 -15.750000 	 -25.300000 	 -25.680000 	 0.093
H44 	 -16.580000 	 -23.840000 	 -26.060000 	 0.093
H45 	 -13.290000 	 -23.680000 	 -24.380000 	 0.031
H46 	 -12.460000 	 -23.030000 	 -25.770000 	 0.031
H47 	 -12.740000 	 -24.750000 	 -25.680000 	 0.031
