O0     O.1    OG2D4  O.1(C.3%6(N%6))
C1     C.3%6A CG2R63 C.3%6(O.1)(N.3%6)
C2     C.3%6A CG2R61 C.3%6A
C3     C.3%6A CG2R61 C.3%6A
C4     C.3%6A CG2R61 C.3%6A
N5     N.2%6A NG2R60 N.2%6 
N6     N.3%6A NG2R61 N.3%6A
C7     C.4    CG321  C.4(H.1)(H.1)
C8     C.3%6A CG2R61 C.3%6A
C9     C.3%6A CG2R61 C.3%6A
C10    C.3%6A CG2R61 C.3%6A
C11    C.3%6A CG2R61 C.3%6A
C12    C.3%6A CG2R67 C.3%6(C.3%6)(C.3%6)(C.3%6)
C13    C.3%6A CG2R61 C.3%6A
C14    C.3%6A CG2R64 C.3%6(N.2%6)(N)
N15    N.2%6A NG2R62 N.2%6(C.3%6(N.2%6))
C16    C.3%6A CG2R61 C.3%6A
C17    C.3%6A CG2R62 C.3%6(C.3%6([^C]%6))(C.3%6([^C]%6))
O18    O.2    OG301  O.2   
C19    C.4    CG321  C.4(H.1)(H.1)
C20    C.4    CG321  C.4(H.1)(H.1)
N21    N.3%6N NG301  N.3%6N
C22    C.4%6N CG321  C.4(H.1)(H.1)
C23    C.4%6N CG321  C.4(H.1)(H.1)
O24    O.2%6N OG3C61 O.2%6N
C25    C.4%6N CG321  C.4(H.1)(H.1)
C26    C.4%6N CG321  C.4(H.1)(H.1)
C27    C.3%6A CG2R61 C.3%6A
N28    N.2%6A NG2R62 N.2%6(C.3%6(N.2%6))
C29    C.3%6A CG2R67 C.3%6(C.3%6)(C.3%6)(C.3%6)
C30    C.3%6A CG2R61 C.3%6A
C31    C.3%6A CG2R61 C.3%6A
C32    C.3%6A CG2R61 C.3%6A
C33    C.3%6A CG2R61 C.3%6A
C34    C.3%6A CG2R61 C.3%6A
C35    C.2    CG1N1  !C.2(!N.1)
N36    N.1    NG1T1  !N.1  
H37    H.1    HGR62  H.1(C.3%6(C.3%6(N.3%6)))
H38    H.1    HGR61  H.1(C.3%6)
H39    H.1    HGA2   H.1(C.4(H.1))
H40    H.1    HGA2   H.1(C.4(H.1))
H41    H.1    HGR61  H.1(C.3%6)
H42    H.1    HGR61  H.1(C.3%6)
H43    H.1    HGR61  H.1(C.3%6)
H44    H.1    HGR61  H.1(C.3%6)
H45    H.1    HGR62  H.1(C.3%6A([^C]%6A))
H46    H.1    HGA2   H.1(C.4(H.1))
H47    H.1    HGA2   H.1(C.4(H.1))
H48    H.1    HGA2   H.1(C.4(H.1))
H49    H.1    HGA2   H.1(C.4(H.1))
H50    H.1    HGA2   H.1(C.4(H.1))
H51    H.1    HGA2   H.1(C.4(H.1))
H52    H.1    HGA2   H.1(C.4(H.1))
H53    H.1    HGA2   H.1(C.4(H.1))
H54    H.1    HGA2   H.1(C.4(H.1))
H55    H.1    HGA2   H.1(C.4(H.1))
H56    H.1    HGA2   H.1(C.4(H.1))
H57    H.1    HGA2   H.1(C.4(H.1))
H58    H.1    HGR62  H.1(C.3%6A([^C]%6A))
H59    H.1    HGR61  H.1(C.3%6)
H60    H.1    HGR61  H.1(C.3%6)
H61    H.1    HGR61  H.1(C.3%6)
H62    H.1    HGR61  H.1(C.3%6)
C1      CG2R63  O0      OG2D4   2        0.49000 -  -0.49000
C2      CG2R61  C1      CG2R63  1       -0.02000 -   0.02000
C1      CG2R63  N6      NG2R61  1        0.05000 -  -0.05000
C2      CG2R61  C3      CG2R61  2        0.00000 -   0.00000
C2      CG2R61  H37     HGR62   1       -0.12000 -   0.12000
C3      CG2R61  C4      CG2R61  1        0.00000 -   0.00000
C3      CG2R61  H38     HGR61   1       -0.11500 -   0.11500
C4      CG2R61  N5      NG2R60  2        0.30000 -  -0.30000
C4      CG2R61  C29     CG2R67  1        0.00000 -   0.00000
N5      NG2R60  N6      NG2R61  1       -0.26000 -   0.26000
C7      CG321   N6      NG2R61  1        0.21000 -  -0.21000
C8      CG2R61  C7      CG321   1        0.00000 -   0.00000
C7      CG321   H39     HGA2    1       -0.09000 -   0.09000
C7      CG321   H40     HGA2    1       -0.09000 -   0.09000
C8      CG2R61  C9      CG2R61  1        0.00000 -   0.00000
C8      CG2R61  C13     CG2R61  2        0.00000 -   0.00000
C9      CG2R61  C10     CG2R61  2        0.00000 -   0.00000
C9      CG2R61  H41     HGR61   1       -0.11500 -   0.11500
C10     CG2R61  C11     CG2R61  1        0.00000 -   0.00000
C10     CG2R61  H42     HGR61   1       -0.11500 -   0.11500
C11     CG2R61  C12     CG2R67  2        0.00000 -   0.00000
C11     CG2R61  H43     HGR61   1       -0.11500 -   0.11500
C13     CG2R61  C12     CG2R67  1        0.00000 -   0.00000
C14     CG2R64  C12     CG2R67  1        0.20000 -  -0.20000
C13     CG2R61  H44     HGR61   1       -0.11500 -   0.11500
C14     CG2R64  N15     NG2R62  2        0.31500 -  -0.31500
C14     CG2R64  N28     NG2R62  1        0.31500 -  -0.31500
C16     CG2R61  N15     NG2R62  1        0.41000 -  -0.41000
C16     CG2R61  C17     CG2R62  2        0.00000 -   0.00000
C16     CG2R61  H45     HGR62   1       -0.12000 -   0.12000
C17     CG2R62  O18     OG301   1        0.21500 -  -0.21500
C27     CG2R61  C17     CG2R62  1        0.00000 -   0.00000
C19     CG321   O18     OG301   1        0.17000 -  -0.17000
C19     CG321   C20     CG321   1        0.00000 -   0.00000
C19     CG321   H46     HGA2    1       -0.09000 -   0.09000
C19     CG321   H47     HGA2    1       -0.09000 -   0.09000
C20     CG321   N21     NG301   1        0.21000 -  -0.21000
C20     CG321   H48     HGA2    1       -0.09000 -   0.09000
C20     CG321   H49     HGA2    1       -0.09000 -   0.09000
C22     CG321   N21     NG301   1        0.21000 -  -0.21000
C26     CG321   N21     NG301   1        0.21000 -  -0.21000
C22     CG321   C23     CG321   1        0.00000 -   0.00000
C22     CG321   H50     HGA2    1       -0.09000 -   0.09000
C22     CG321   H51     HGA2    1       -0.09000 -   0.09000
C23     CG321   O24     OG3C61  1        0.20000 -  -0.20000
C23     CG321   H52     HGA2    1       -0.09000 -   0.09000
C23     CG321   H53     HGA2    1       -0.09000 -   0.09000
C25     CG321   O24     OG3C61  1        0.20000 -  -0.20000
C25     CG321   C26     CG321   1        0.00000 -   0.00000
C25     CG321   H54     HGA2    1       -0.09000 -   0.09000
C25     CG321   H55     HGA2    1       -0.09000 -   0.09000
C26     CG321   H56     HGA2    1       -0.09000 -   0.09000
C26     CG321   H57     HGA2    1       -0.09000 -   0.09000
