C      C.4    CG331  !C.4(H.1)(H.1)(H.1)
C2     C.3%6A CG2R61 C.3%6A
C3     C.3%6A CG2R61 C.3%6A
C4     C.3%6A CG2R61 C.3%6A
C5     C.3%6A CG2R61 C.3%6A
C6     C.3%6A CG2R61 C.3%6A
C7     C.3%6A CG2R61 C.3%6A
O      O.2    OG301  O.2   
C9     C.3%6A CG2R61 C.3%6A
C10    C.3%6A CG2R61 C.3%6A
C11    C.3%6A CG2R66 C.3%6(F.1)
C12    C.3%6A CG2R61 C.3%6A
C13    C.3%6A CG2R61 C.3%6A
CL     CL.1   CLGR1  CL.1(C%6)
C15    C.3%6A CG2R61 C.3%6A
S      S.4    SG3O2  S.4(O.1)(O.1)
O17    O.1    OG2P1  O.1(!S)
C18    C.4    CG331  !C.4(H.1)(H.1)(H.1)
C19    C.2    CG1N1  !C.2(!N.1)
N      N.1    NG1T1  !N.1  
F      F.1    FGR1   F.1(C.3%)
O22    O.1    OG2P1  O.1(!S)
H      H.1    HGA3   H.1(C.4(H.1)(H.1))
H24    H.1    HGA3   H.1(C.4(H.1)(H.1))
H25    H.1    HGA3   H.1(C.4(H.1)(H.1))
H26    H.1    HGR61  H.1(C.3%6)
H27    H.1    HGR61  H.1(C.3%6)
H28    H.1    HGR62  H.1(C.3%6(C.3%6(F|CL|BR|I.1)))
H29    H.1    HGR62  H.1(C.3%6(C.3%6(F|CL|BR|I.1)))
H30    H.1    HGR62  H.1(C.3%6(C.3%6(F|CL|BR|I.1)))
H31    H.1    HGA3   H.1(C.4(H.1)(H.1))
H32    H.1    HGA3   H.1(C.4(H.1)(H.1))
H33    H.1    HGA3   H.1(C.4(H.1)(H.1))
C19     CG1N1   N       NG1T1   3        0.46000 -  -0.46000
C19     CG1N1   C2      CG2R61  1       -0.10000 -   0.10000
C       CG331   H25     HGA3    1       -0.09000 -   0.09000
C10     CG2R61  H28     HGR62   1         -0.150 -     0.150
C9      CG2R61  O       OG301   1        0.21500 -  -0.21500
C7      CG2R61  O       OG301   1        0.21500 -  -0.21500
C2      CG2R61  C7      CG2R61  1        0.00000 -   0.00000
C2      CG2R61  C3      CG2R61  2        0.00000 -   0.00000
C       CG331   H       HGA3    1       -0.09000 -   0.09000
C       CG331   H24     HGA3    1       -0.09000 -   0.09000
C3      CG2R61  C       CG331   1        0.00000 -   0.00000
C10     CG2R61  C9      CG2R61  2        0.00000 -   0.00000
C10     CG2R61  C11     CG2R66  1        0.00000 -   0.00000
C9      CG2R61  C15     CG2R61  1        0.00000 -   0.00000
C11     CG2R66  F       FGR1    1        0.21000 -  -0.21000
C7      CG2R61  C6      CG2R61  2        0.00000 -   0.00000
C12     CG2R61  C11     CG2R66  2        0.00000 -   0.00000
C3      CG2R61  C4      CG2R61  1        0.00000 -   0.00000
C15     CG2R61  H30     HGR62   1         -0.150 -     0.150
C15     CG2R61  C13     CG2R61  2        0.00000 -   0.00000
C12     CG2R61  C13     CG2R61  1        0.00000 -   0.00000
C12     CG2R61  H29     HGR62   1         -0.150 -     0.150
C13     CG2R61  CL      CLGR1   1        0.13000 -  -0.13000
C6      CG2R61  H27     HGR61   1       -0.11500 -   0.11500
C6      CG2R61  C5      CG2R61  1        0.00000 -   0.00000
C4      CG2R61  C5      CG2R61  2        0.00000 -   0.00000
C4      CG2R61  S       SG3O2   1        0.24000 -  -0.24000
O22     OG2P1   S       SG3O2   2       -0.36000 -   0.36000
C5      CG2R61  H26     HGR61   1       -0.11500 -   0.11500
C18     CG331   H33     HGA3    1       -0.09000 -   0.09000
C18     CG331   S       SG3O2   1        0.29000 -  -0.29000
O17     OG2P1   S       SG3O2   2       -0.36000 -   0.36000
C18     CG331   H31     HGA3    1       -0.09000 -   0.09000
C18     CG331   H32     HGA3    1       -0.09000 -   0.09000
mol_clean Success!
